PO Number,PO Item,Latest Valid GR,Latest Valid GR Posting Date,GR Amt,Invoice Amt,Down Payment Amt,Down Payment Clearing
4500000001,10,,,17215.04,17039.82,0.0,0.0
4500000002,10,,,84630.62,84630.61,0.0,0.0
4500000003,10,,,142746.9,142746.9,0.0,0.0
4500000004,10,,,78885.4,78885.4,0.0,0.0
4500000004,20,,,70725.66,70725.66,0.0,0.0
4500000004,30,,,70725.66,70725.66,0.0,0.0
4500000004,40,,,67858.41,67858.41,0.0,0.0
4500000005,10,,,71362.83,71362.83,0.0,0.0
4500000005,20,,,47150.44,47150.44,0.0,0.0
4500000005,30,,,45752.21,45752.21,0.0,0.0
4500000006,10,,,42336.28,42336.28,0.0,0.0
4500000007,10,,,37734.51,37734.52,0.0,0.0
4500000008,10,,,37734.51,37274.33,0.0,0.0
4500000009,10,,,134776.99,134776.99,0.0,0.0
4500000009,20,,,30800.0,30800.0,0.0,0.0
4500000010,10,,,26400.0,26400.0,0.0,0.0
4500000010,20,,,192184.07,192184.07,0.0,0.0
4500000011,10,,,119801.77,119801.77,0.0,0.0
4500000011,20,,,26400.0,26400.0,0.0,0.0
4500000011,30,,,164729.2,164729.2,0.0,0.0
4500000011,40,,,395352.21,395352.21,0.0,0.0
4500000012,10,,,411823.01,411823.01,0.0,0.0
4500000013,10,,,155309.73,155309.73,0.0,0.0
4500000013,20,,,87212.39,87212.39,0.0,0.0
4500000014,10,,,27530.97,27530.96,0.0,0.0
4500000015,10,,,20796.46,20796.46,0.0,0.0
4500000015,20,,,12477.88,12477.88,0.0,0.0
4500000016,10,,,30810.19,32350.44,0.0,0.0
4500000016,20,,,7774.91,8163.72,0.0,0.0
4500000016,30,,,54747.35,58738.94,0.0,0.0
4500000016,40,,,16434.87,17256.64,0.0,0.0
4500000016,50,,,7681.42,8065.49,0.0,0.0
4500000016,60,,,109987.17,115486.73,0.0,0.0
4500000016,70,,,96923.63,101769.91,0.0,0.0
4500000016,80,,,57943.58,60840.71,0.0,0.0
4500000016,90,,,3469.03,3469.03,0.0,0.0
4500000016,100,,,637.17,637.17,0.0,0.0
4500000016,110,,,2973.45,2973.45,0.0,0.0
4500000016,120,,,25274.34,25274.34,0.0,0.0
4500000017,10,,,24564.88,25792.92,0.0,0.0
4500000017,20,,,23324.73,24487.19,0.0,0.0
4500000017,30,,,58397.17,62654.87,0.0,0.0
4500000017,40,,,69026.55,69026.55,0.0,0.0
4500000017,50,,,38761.06,38761.06,0.0,0.0
4500000017,60,,,16434.87,17260.6,0.0,0.0
4500000017,70,,,10973.45,11522.12,0.0,0.0
4500000017,80,,,80657.26,84690.27,0.0,0.0
4500000017,90,,,58996.99,61946.9,0.0,0.0
4500000017,100,,,50990.35,53539.82,0.0,0.0
4500000017,110,,,2902.65,2902.65,0.0,0.0
4500000017,120,,,6371.68,6371.68,0.0,0.0
4500000017,130,,,707.96,707.96,0.0,0.0
4500000017,140,,,23469.04,23469.04,0.0,0.0
4500000018,10,,,477.88,477.88,0.0,0.0
4500000019,10,,,1380.53,1380.52,0.0,0.0
4500000019,20,,,1380.53,1380.53,0.0,0.0
4500000020,10,,,1247.79,1247.79,0.0,0.0
4500000020,20,,,1247.79,1247.79,0.0,0.0
4500000020,30,,,1380.53,1380.53,0.0,0.0
4500000020,40,,,1380.53,1380.53,0.0,0.0
4500000020,50,,,1380.53,1247.79,0.0,0.0
4500000020,60,,,1380.53,1380.53,0.0,0.0
4500000021,10,,,20796.46,20796.46,0.0,0.0
4500000021,20,,,25486.73,25486.73,0.0,0.0
4500000022,10,,,955.75,955.75,0.0,0.0
4500000023,10,,,105000.0,105000.0,0.0,0.0
4500000024,10,,,35221.24,35221.25,0.0,0.0
4500000024,20,,,12831.86,12831.86,0.0,0.0
4500000025,10,,,3050.44,3050.44,0.0,0.0
4500000025,20,,,45756.64,45756.64,0.0,0.0
4500000026,10,,,29203.54,29203.56,0.0,0.0
4500000027,10,,,42345.13,42345.13,0.0,0.0
4500000028,10,,,1380.53,1380.54,0.0,0.0
4500000028,20,,,1247.79,1247.79,0.0,0.0
4500000028,30,,,1247.79,1247.79,0.0,0.0
4500000028,40,,,1380.53,1380.53,0.0,0.0
4500000028,50,,,1380.53,1380.53,0.0,0.0
4500000028,60,,,1380.53,1380.53,0.0,0.0
4500000028,70,,,1380.53,1380.53,0.0,0.0
4500000028,80,,,1380.53,1380.53,0.0,0.0
4500000028,90,,,1380.53,1380.53,0.0,0.0
4500000029,10,,,0.0,0.0,0.0,0.0
4500000030,10,,,191150.44,191150.42,0.0,0.0
4500000030,20,,,145809.03,145809.03,0.0,0.0
4500000031,10,,,3096.64,3097.35,0.0,0.0
4500000031,20,,,2254.87,2254.87,0.0,0.0
4500000031,30,,,2814.16,2814.16,0.0,0.0
4500000033,10,,,11784.96,11784.96,0.0,0.0
4500000034,10,,,3096.64,3096.64,0.0,0.0
4500000034,20,,,2254.88,2254.86,0.0,0.0
4500000034,30,,,2814.16,2788.61,0.0,0.0
4500000035,10,,,31040.71,31040.71,0.0,0.0
4500000036,10,,,2548.67,2548.67,0.0,0.0
4500000037,10,,,156294.27,156294.26,0.0,0.0
4500000038,10,,,2265.49,2265.49,0.0,0.0
4500000039,10,,,24690.27,24690.27,0.0,0.0
4500000040,10,,,42323.89,42323.89,0.0,0.0
4500000040,20,,,146411.47,146411.47,0.0,0.0
4500000041,10,,,1876.11,1876.11,0.0,0.0
4500000041,20,,,1560.18,1560.18,0.0,0.0
4500000041,30,,,4675.22,4675.22,0.0,0.0
4500000041,40,,,3141.59,3141.59,0.0,0.0
4500000041,50,,,37530.97,37530.97,0.0,0.0
4500000042,10,,,7765.49,7566.37,0.0,0.0
4500000043,10,,,126106.19,126106.19,0.0,0.0
4500000044,10,,,6637.17,6637.17,0.0,0.0
4500000044,20,,,6637.17,6637.17,0.0,0.0
4500000045,10,,,3362.83,3362.83,0.0,0.0
4500000046,10,,,1460.18,1460.18,0.0,0.0
4500000046,20,,,12955.75,12955.74,0.0,0.0
4500000047,10,,,1271.36,1271.36,0.0,0.0
4500000048,10,,,1858.41,1858.89,0.0,0.0
4500000048,20,,,2787.61,2788.61,0.0,0.0
4500000049,10,,,14601.77,14601.77,0.0,0.0
4500000050,10,,,10619.47,10619.47,0.0,0.0
4500000051,10,,,35398.23,35398.23,0.0,0.0
4500000052,10,,,353.98,353.98,0.0,0.0
4500000053,10,,,73016.28,73016.28,0.0,0.0
4500000054,10,,,1453.54,1453.54,0.0,0.0
4500000054,20,,,159.29,159.29,0.0,0.0
4500000055,10,,,248864.5,248864.5,0.0,0.0
4500000056,10,,,3823.02,3823.02,0.0,0.0
4500000056,20,,,21069.03,21069.02,0.0,0.0
4500000056,30,,,1115.04,1115.04,0.0,0.0
4500000056,40,,,42138.05,42138.06,0.0,0.0
4500000057,10,,,49380.53,49380.53,0.0,0.0
4500000058,10,,,27876.11,27876.11,0.0,0.0
4500000059,10,,,151964.6,151964.59,0.0,0.0
4500000059,20,,,13372.57,13372.57,0.0,0.0
4500000060,10,,,280353.98,280353.99,0.0,0.0
4500000061,10,,,40524.78,40524.78,0.0,0.0
4500000061,20,,,72569.07,72569.07,0.0,0.0
4500000062,10,,,112920.36,112920.35,0.0,0.0
4500000062,20,,,13274.34,13274.34,0.0,0.0
4500000062,30,,,14601.77,14601.77,0.0,0.0
4500000062,40,,,82831.86,82831.86,0.0,0.0
4500000062,50,,,39823.01,39823.01,0.0,0.0
4500000062,60,,,24424.78,24424.78,0.0,0.0
4500000062,70,,,9477.87,9477.88,0.0,0.0
4500000062,80,,,227509.73,227509.73,0.0,0.0
4500000062,90,,,138789.38,138789.38,0.0,0.0
4500000062,100,,,161427.43,161427.44,0.0,0.0
4500000063,10,,,22867.26,22867.26,0.0,0.0
4500000064,10,,,5215.75,5215.75,0.0,0.0
4500000064,20,,,6230.09,6230.09,0.0,0.0
4500000065,10,,,54.87,44552.21,0.0,0.0
4500000065,20,,,54.87,51191.15,0.0,0.0
4500000065,30,,,27.43,14100.89,0.0,0.0
4500000065,40,,,27.43,22660.17,0.0,0.0
4500000066,10,,,29469.03,29469.03,0.0,0.0
4500000066,20,,,28672.57,28672.57,0.0,0.0
4500000066,30,,,42212.39,42212.39,0.0,0.0
4500000067,10,,,1592.92,0.0,0.0,0.0
4500000068,10,,,9557.52,9557.52,0.0,0.0
4500000068,20,,,14070.8,14070.8,0.0,0.0
